"IV1_race","IV2_diagnosis","condition","socialdistance_1","socialdistance_2","socialdistance_3","blame_1","blame_2","blame_3","danger_1","danger_2","danger_3","concern_1","concern_2","concern_3","help_1","help_2","gender","age","ethnicity","community","political_affiliation","contact_homeless","social_desirability"
2,1,4,2,4,3,4,3,4,4,4,4,5,5,4,3,2,1,53,2,2,2,1,6
2,1,4,7,7,7,4,3,4,1,1,1,5,5,6,6,6,1,52,1,1,2,5,9
2,1,4,5,2,5,3,3,4,3,2,2,5,4,4,3,2,2,21,1,3,1,2,8
2,1,4,7,4,4,2,2,6,2,3,2,6,6,6,6,3,2,34,2,1,1,2,4
2,1,4,7,7,7,6,2,6,6,2,2,6,6,7,7,7,1,79,1,3,1,1,12
2,1,4,7,7,7,1,3,6,1,1,1,5,6,6,7,5,2,21,1,1,1,6,6
2,1,4,5,5,7,1,1,7,2,2,1,5,7,6,4,2,2,22,3,3,1,2,8
2,1,4,4,3,3,4,3,2,4,4,4,4,5,5,2,2,2,56,2,2,3,1,8
2,1,4,7,2,5,3,2,6,5,5,2,5,5,4,3,2,1,22,1,2,2,3,5
2,1,4,7,7,4,1,2,7,4,4,4,7,7,7,7,7,2,20,1,1,1,4,7
2,1,4,5,3,3,3,2,5,3,5,4,7,7,7,7,1,2,19,1,1,1,2,10
2,1,4,6,4,5,1,2,7,3,6,3,7,5,6,7,5,2,41,3,2,2,1,8
2,2,5,5,6,5,2,2,6,2,2,2,6,7,5,6,6,2,46,4,2,1,5,8
2,2,5,3,2,3,3,2,5,5,5,5,6,6,6,5,4,1,19,2,1,2,3,5
2,2,5,4,4,6,3,2,6,4,4,4,6,6,6,3,2,2,19,3,2,1,3,5
2,2,5,7,4,7,1,1,7,3,2,2,7,7,7,7,5,2,20,2,2,1,2,12
2,2,5,4,2,5,5,4,3,4,2,4,3,4,4,5,2,1,25,5,2,2,3,8
2,2,5,6,4,7,3,5,7,5,4,3,7,5,7,3,5,1,38,3,2,3,2,12
2,2,5,4,4,5,5,3,4,4,5,4,6,6,6,3,3,2,73,2,3,2,1,8
2,2,5,4,1,4,5,4,3,3,3,3,6,7,6,5,2,1,52,2,1,2,2,1
2,2,5,7,4,7,4,4,4,4,4,2,6,7,6,4,4,2,22,2,2,1,2,7
2,2,5,6,6,2,2,2,6,2,1,1,7,7,6,2,5,1,33,1,2,1,0,11
2,2,5,4,3,3,1,1,6,4,5,2,5,6,5,2,1,2,21,2,2,1,2,1
2,2,5,2,2,4,4,3,5,3,1,2,2,3,2,7,5,2,22,2,1,2,1,2
2,2,5,5,4,6,2,2,6,2,4,2,5,7,7,3,3,2,32,2,2,1,3,10
2,2,5,6,5,7,1,1,7,2,3,2,6,7,7,5,4,2,19,1,1,1,3,7
2,2,5,1,7,7,1,1,7,5,1,4,7,5,6,7,6,2,52,3,2,2,5,4
2,2,5,6,6,6,2,2,4,2,2,2,3,5,6,6,6,2,45,1,2,2,4,8
2,2,5,7,5,6,2,2,6,3,3,2,4,6,6,4,3,2,21,2,2,1,2,5
2,2,5,5,5,6,4,4,4,3,1,2,3,5,5,5,5,2,22,2,2,2,3,7
2,2,5,5,6,5,4,3,6,2,1,1,5,7,7,7,6,1,64,1,2,2,3,10
2,2,5,6,5,7,2,3,6,4,5,4,3,3,6,2,1,2,19,1,1,1,2,5
2,2,5,6,6,5,1,1,7,4,3,2,7,7,7,6,6,3,21,3,2,1,2,8
2,2,5,4,5,4,3,2,3,3,3,3,4,4,4,5,4,1,60,2,1,2,2,7
2,2,5,2,3,5,2,2,5,5,6,4,5,6,6,5,3,2,19,2,1,2,2,3
2,2,5,3,4,5,NA,2,5,NA,2,4,5,5,6,6,4,2,20,1,2,1,2,2
2,2,5,4,4,4,2,1,3,4,3,4,4,5,4,3,4,2,NA,1,3,1,2,11
2,2,5,7,7,7,1,1,7,2,1,1,7,7,7,5,2,1,21,2,2,1,2,1
2,2,5,5,4,5,4,3,4,5,1,2,5,7,6,7,7,2,51,1,2,2,2,5
2,2,5,7,6,7,2,2,6,2,4,2,7,6,6,6,2,2,19,2,3,1,3,3
2,2,5,3,6,6,3,3,5,4,5,4,6,6,7,4,3,2,19,1,2,1,4,4
2,2,5,6,5,6,1,1,7,2,2,2,7,7,7,5,4,3,21,3,3,1,3,5
2,2,5,3,7,3,4,3,3,3,1,2,6,5,6,6,7,1,76,1,2,1,2,9
2,2,5,1,2,1,1,2,4,1,2,1,1,4,2,4,1,2,20,1,2,1,4,0
2,2,5,5,4,5,3,3,4,2,4,3,6,6,6,6,2,2,27,4,2,3,1,5
2,2,5,4,1,7,2,2,3,3,2,4,2,NA,2,3,2,1,19,3,2,2,1,5
2,3,6,5,6,7,1,1,7,5,5,5,7,7,7,6,4,2,20,1,1,1,3,3
2,3,6,5,4,4,2,2,6,4,5,4,5,5,6,3,2,2,21,5,2,1,3,4
2,3,6,6,6,7,1,1,7,2,1,2,4,6,7,2,2,1,20,1,2,2,2,10
2,3,6,7,4,5,2,2,6,1,1,1,1,6,6,6,4,1,21,1,2,2,2,11
2,3,6,5,5,6,1,1,7,5,5,2,7,7,7,2,3,2,21,2,2,1,1,5
2,3,6,4,5,5,2,2,5,3,3,2,5,6,6,3,4,2,22,2,2,1,3,4
2,3,6,6,3,1,2,2,5,3,5,4,5,5,7,2,2,1,53,2,2,1,1,3
2,3,6,7,5,7,1,2,7,1,1,1,6,6,6,6,5,1,21,2,1,2,2,6
2,3,6,3,4,4,1,1,7,7,4,3,7,7,7,6,3,2,19,1,1,1,1,2
2,3,6,4,5,5,1,1,7,4,3,4,7,7,5,2,5,2,57,2,2,2,4,8
2,3,6,4,4,5,2,3,5,4,2,2,4,4,6,4,2,2,38,2,2,1,3,10
2,3,6,5,5,6,1,1,7,2,4,2,5,5,6,5,4,2,47,2,2,1,2,8
2,3,6,6,5,6,1,2,7,3,6,3,7,7,6,7,5,2,42,2,2,3,2,7
2,3,6,4,2,5,4,2,4,5,4,4,6,6,6,4,5,2,34,2,2,3,3,8
2,3,6,4,6,4,1,1,7,3,5,1,7,7,7,5,5,2,21,1,2,1,3,9
2,3,6,4,4,3,2,2,5,5,4,5,5,5,5,5,3,1,61,2,3,3,2,3
2,3,6,7,7,6,2,2,3,2,6,6,6,7,7,7,7,2,51,3,4,2,2,13
2,3,6,3,5,7,2,2,5,2,3,2,6,5,7,5,2,2,19,2,2,1,1,8
2,3,6,6,3,4,6,3,5,3,3,3,5,5,5,5,3,1,20,1,2,1,2,3
2,3,6,7,7,7,1,1,7,2,2,1,7,7,7,7,5,2,21,1,2,2,2,6
2,3,6,3,4,3,5,3,3,4,2,3,3,3,4,4,3,1,40,1,1,NA,2,10
2,3,6,5,6,3,1,1,7,4,5,4,7,7,6,4,3,2,52,2,2,2,2,9
2,3,6,6,6,6,1,1,7,NA,1,1,6,7,7,7,7,2,51,1,2,3,3,10
2,3,6,3,4,2,1,2,7,6,4,2,3,4,3,4,4,1,25,4,3,1,2,8
2,3,6,4,2,1,3,2,5,3,3,3,3,6,6,4,4,2,45,6,2,3,3,9
2,3,6,5,5,4,1,2,6,4,2,3,3,6,4,4,3,3,20,1,2,1,5,6
2,3,6,5,3,5,5,4,3,3,4,4,4,5,4,5,3,2,42,4,1,2,2,5
2,3,6,5,3,2,2,1,6,6,6,3,6,5,3,6,4,2,53,1,2,2,3,10
2,3,6,5,5,3,3,3,4,4,2,3,6,6,6,6,6,2,30,1,1,1,3,9
2,3,6,4,7,4,1,1,7,4,3,3,5,7,7,7,6,2,20,5,2,1,2,10
2,3,6,3,5,4,1,1,7,5,4,4,7,7,7,6,4,2,20,1,2,1,2,7
2,3,6,3,3,6,2,2,5,5,2,3,5,5,5,5,2,1,48,2,3,2,2,4
2,3,6,4,5,4,1,1,7,4,4,4,7,7,7,3,3,2,19,1,1,1,4,0
2,3,6,4,4,3,2,2,5,5,6,5,7,7,7,6,5,2,43,1,2,2,6,7
2,3,6,3,2,4,1,2,7,4,4,3,5,5,6,2,3,1,21,1,2,1,3,6
2,3,6,4,5,4,2,2,6,4,4,4,6,5,6,2,2,1,22,1,1,1,1,2
2,3,6,4,3,4,1,1,7,3,5,3,7,7,7,4,4,2,19,1,2,1,2,6
2,3,6,3,3,6,1,2,7,5,5,3,2,7,7,7,5,2,33,3,2,1,3,9
2,3,6,2,1,2,1,1,7,6,4,4,3,2,2,1,1,2,20,1,2,2,2,3
