IV1_race,IV2_diagnosis,condition,socialdistance_1,socialdistance_2,socialdistance_3,blame_1,blame_2,blame_3,danger_1,danger_2,danger_3,concern_1,concern_2,concern_3,help_1,help_2,gender,age,ethnicity,community,political_affiliation,contact_homeless,social_desirability,socialdistanceR1,socialdistanceR2,socialdistanceR3,Distance_mean,blameR3,Blamemean,danger_mean,concernR1,ConcernR2,ConcernR3,Concern_mean,helpR1,helpR2,Help_Mean
2,1,4,7,7,7,3,2,4,2,2,1,7,6,6,7,5,2,-0.909755899810721,2,1,1,4,5,1,1,1,-1.64612744433201,4,3,1.66666666666667,1,2,2,1.66666666666667,1,3,2
2,1,4,7,7,7,1,1,7,1,2,1,6,7,7,7,6,2,-0.909755899810721,3,3,1,2,6,1,1,1,-1.64612744433201,1,1,1.33333333333333,2,1,1,1.33333333333333,1,2,1.5
2,1,4,3,7,7,4,3,3,4,3,2,3,5,5,2,2,2,-0.970905884509695,2,2,2,1,9,5,1,1,-0.582596173884728,5,4,3,5,3,3,3.66666666666667,6,6,6
2,1,4,7,5,4,5,3,5,6,5,4,6,6,7,5,6,2,1.47509350344928,2,3,3,3,6,1,3,4,-0.316713356272902,3,3.66666666666667,5,2,2,1,1.66666666666667,3,2,2.5
2,1,4,3,2,3,4,3,4,3,3,3,4,4,5,4,3,2,-0.17595608342302901,3,2,2,3,7,5,6,5,1.81034918462166,4,3.66666666666667,3,4,4,3,3.66666666666667,4,5,4.5
2,1,4,4,1,2,2,2,6,1,2,2,6,7,7,4,2,2,1.35279353405133,2,2,1,2,10,4,7,6,2.07623200223349,2,2,1.66666666666667,2,1,1,1.33333333333333,4,6,5
2,1,4,7,7,7,1,2,6,1,1,1,5,6,5,5,7,1,1.29164354935235,2,1,2,3,5,1,1,1,-1.64612744433201,2,1.66666666666667,1,3,2,3,2.66666666666667,3,1,2
2,1,4,5,4,5,2,1,4,2,2,1,5,5,5,4,4,1,-0.909755899810721,2,1,1,2,8,3,4,3,0.215052278950735,4,2.33333333333333,1.66666666666667,3,3,3,3,4,4,4
2,1,4,6,5,7,1,1,7,1,3,1,7,7,7,5,5,2,-0.848605915111746,3,1,1,5,11,2,3,1,-0.848478991496546,1,1,1.66666666666667,1,1,1,1,3,3,3
2,1,4,7,6,7,1,1,7,3,5,4,7,4,7,7,5,1,-1.03205586920867,1,2,1,4,5,1,2,1,-1.38024462672019,1,1,4,1,4,1,2,1,3,2
2,1,4,7,4,4,2,2,4,1,1,1,4,7,7,7,6,1,2.63694321272979,2,2,2,4,8,1,4,4,-0.0508305386610833,4,2.66666666666667,1,4,1,1,2,1,2,1.5
2,1,4,4,2,5,2,2,5,3,5,2,5,4,5,3,3,2,-0.848605915111746,2,1,2,2,3,4,6,3,1.0127007317862,3,2.33333333333333,3.33333333333333,3,4,3,3.33333333333333,5,5,5
2,1,4,6,5,6,3,2,4,4,3,4,5,4,7,4,4,2,2.08659335043902,6,2,2,4,8,2,3,2,-0.582596173884728,4,3,3.66666666666667,3,4,1,2.66666666666667,4,4,4
2,1,4,7,6,6,1,1,7,1,1,1,7,7,5,1,1,2,-0.909755899810721,3,2,1,6,4,1,2,2,-1.11436180910836,1,1,1,1,1,3,1.66666666666667,7,7,7
2,1,4,7,4,5,3,2,6,3,3,2,6,6,5,5,4,2,-0.909755899810721,5,3,2,3,8,1,4,3,-0.316713356272902,2,2.33333333333333,2.66666666666667,2,2,3,2.33333333333333,3,4,3.5
2,1,4,6,4,7,4,4,4,2,2,2,4,2,6,6,4,2,1.35279353405133,2,1,2,3,10,2,4,1,-0.582596173884728,4,4,2,4,6,2,4,2,4,3
2,1,4,5,7,7,2,2,5,2,2,2,3,5,6,6,4,2,1.23049356465338,2,2,2,3,5,3,1,1,-1.11436180910836,3,2.33333333333333,2,5,3,2,3.33333333333333,2,4,3
2,1,4,2,4,3,4,3,4,4,4,4,5,5,4,3,2,1,1.10819359525543,2,2,2,1,6,6,4,5,1.54446636700984,4,3.66666666666667,4,3,3,4,3.33333333333333,5,6,5.5
2,1,4,7,7,7,4,3,4,1,1,1,5,5,6,6,6,1,1.04704361055646,1,1,2,5,9,1,1,1,-1.64612744433201,4,3.66666666666667,1,3,3,2,2.66666666666667,2,2,2
2,1,4,5,2,5,3,3,4,3,2,2,5,4,4,3,2,2,-0.848605915111746,1,3,1,2,8,3,6,3,0.74681791417438,4,3.33333333333333,2.33333333333333,3,4,4,3.66666666666667,5,6,5.5
2,1,4,7,4,4,2,2,6,2,3,2,6,6,6,6,3,2,-0.0536561140250803,2,1,1,2,4,1,4,4,-0.0508305386610833,2,2,2.33333333333333,2,2,2,2,2,5,3.5
2,1,4,7,7,7,6,2,6,6,2,2,6,6,7,7,7,1,2.69809319742876,1,3,1,1,12,1,1,1,-1.64612744433201,2,3.33333333333333,3.33333333333333,2,2,1,1.66666666666667,1,1,1
2,1,4,7,7,7,1,3,6,1,1,1,5,6,6,7,5,2,-0.848605915111746,1,1,1,6,6,1,1,1,-1.64612744433201,2,2,1,3,2,2,2.33333333333333,1,3,2
